item_id|title|category|content|link|date|photo_link
6_20210808_1|蔡英文：台灣已取得逾960萬劑疫苗|政治|全球疫苗供給吃緊，我國第五批自購莫德納疫苗9.96萬劑，今（8）日下午已抵達桃園國際機場。對此，總統蔡英文表示，包含今天的疫苗在內，目前台灣已經累計取得超過960萬劑疫苗，接下來，政府和民間採購的疫苗數量還會陸續抵達。 蔡英文表示，包含今天的疫苗在內，目前台灣已經累計取得超過960萬劑疫苗。我國與美國莫德納（Moderna）公司採購之疫苗，目前共有124.96萬劑到貨，分別為首批5月28日15萬劑、第二批6月18日24萬劑、第三批6月30日41萬劑、第四批7月15日35萬劑及本批9.96萬劑。今日抵台疫苗待完成通關程序後，將直接運送至指定冷儲物流中心進行後續檢驗封緘作業，再提供新冠肺炎接種計畫所列實施對象接種。對此，蔡英文透過臉書分享疫苗抵台的好消息，「這陣子受到Delta變種病毒影響，世界上許多國家的確診數再創高峰。不過，台灣的確診人數則持續下降，這是全民共同努力的成果」。 蔡英文強調，台灣的確診人數則持續下降，是全民共同努力的成果。蔡英文指出，「在全球疫苗供貨短缺的挑戰下，我們依然多管齊下，努力維持疫苗供應。包含今天的疫苗在內，目前台灣已經累計取得超過960萬劑疫苗。接下來，政府和民間採購的疫苗數量還會陸續抵達，我們會全力催促、緊盯疫苗供貨，並搭配國產疫苗，讓國人的接種可以持續下去」。蔡英文也呼籲國人，「請大家一起繼續努力，落實防疫，並用更高的整體防護力來對抗疫情，守護台灣！」此外，指揮中心稍早說明，我國已於今（2021）年2月8日及7月21日與莫德納公司簽署新冠肺炎疫苗供應合約，其中605萬劑於今年供應。該疫苗為多劑型包裝（每瓶10人份），存放於-20℃可保存至少6個月，於2-8℃之使用期限為30天，依臨床試驗結果，每人需施打2劑，2劑間隔28天以上，疫苗保護效力可達94%。● 疫苗施打意願登記與預約系統：https://1922.gov.tw/|https://www.setn.com/News.aspx?NewsID=979448&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_2|不只泛黃枕頭！高嘉瑜曬下廚照凹一角|政治|民進黨立委高嘉瑜去年一張「泛黃枕頭」引發熱烈迴響，今日她在臉書上曬出一張下廚照，只見平底鍋凹了一角，讓不少網友笑稱鍋子處境跟枕頭好像。對此，高嘉瑜回應表示，由於自己下廚機會非常少，平底鍋是非常便宜的不沾鍋，也疏於保養，塗層早就磨損掉了，說完自己也憋不住笑意，噗哧地笑出來。，會煎韭菜盒也只是自己想吃高嘉瑜去年一張在臉書公開自己的閨房照，大吐苦水解釋自己沒有搬家的原因，不過「泛黃枕頭」卻引發網友們熱烈迴響。高嘉瑜今日在臉書曬出一張，自己煎冷凍韭菜盒的下廚照，還說「高度還原、美味度接近100%，不用加一滴油、不需廚藝，只要會開火。」不料網友紛紛關注高嘉瑜「凹了一角」的平底鍋，有網友留言直呼鍋子處境跟枕頭好像，還有人笑說「看得出來這個鍋子歴經滄桑。」「凹了一角」的平底鍋，引發網友關注對此，高嘉瑜回應表示，由於自己下廚機會非常少，平底鍋是非常便宜的不沾鍋，也疏於保養，塗層早就磨損掉了，說完自己也憋不住笑意，噗哧地笑出來。她也表示會盡快換掉平底鍋，會煎韭菜盒也只是自己想吃，其實平常並不會自己煮。|https://www.setn.com/News.aspx?NewsID=979426&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_3|他：全紅嬋讓全球看到中國沒有這靈魂|政治|中國14歲跳水小將全紅嬋在8/5東奧女子10公尺跳台項目，以總分466.2的優異成績，為中國奪得金牌，年紀輕輕的全紅嬋，首征奧運就技壓全場，被譽為「跳水天才少女」。賽後，她毫無意外成為焦點，全中國媒體更是連日報導；宜蘭市市政顧問吳濬彥今（8）天下午在臉書發表長文指出，全紅嬋一舉成為官媒大內宣的工具；全紅嬋的努力，在得牌的那一刻全世界都看見了。但全世界也看到了，沒有奧林匹克靈魂的中國。。她的貧窮、苦練與率真，賺人熱淚，也令中共黨國的主旋律相形尷尬。以下為吳濬彥臉書全文：14歲的孩子應該是什麼樣的生活？中國籍14歲的全紅嬋，也就是這次2020東奧女子單人跳水金牌。中媒在她獲獎後，不斷塑造「可愛」、「純真」、「萌」的形象，並表揚她的孝心。全紅嬋一舉成為官媒大內宣的工具。究竟是什麼樣的動機讓一個女孩願意犧牲自己的童年，一路堅忍到冠軍的寶座？這個來自廣東農村的女孩，七歲起每週訓練六天，每年只有幾天不在體育館，每天不斷重複進行機械式訓練。全紅嬋7歲時被教練選去體育學校練跳水，那時她不愛讀書，以為跳水就不用上學，從此她每天苦練，單日要跳四百多次。因為窮，她從來沒去過遊樂園或動物園，放假也只能留在家裏，把所有時間都花在跳水，以致沒時間讀書識字。而這些努力的目的是為了給家裡的母親籌措醫療費用。「我媽媽生病了，可是我不知道那個字怎麼讀，不知道她得的什麼病，然後就很想賺錢，回去給她治病，得賺很多錢，然後治好她……」，全虹嬋接受採訪時這麼說，她甚至不認得母親的病該怎麼唸。微信公眾號「中產生活觀察」前兩天發了一則貼文，提到中國官媒在報導全紅嬋時，刻意淡化她的出身背景、訓練過程的苦難，並「精心」的將她受訪時不認識字的畫面移除。可想而知，這篇觸動黨國敏感神經的貼文在不到24小時的時間就被下架，因為它不小心地透露出了中國貧富極端懸殊的訊息。2002年中共十六大提出建設小康社會，2021年的習近平趁著七一中共百年黨慶時，就稱中國已全面建成了「小康社會」，歷史性地解決了絕對貧困問題。全紅嬋面對媒體所說的，正與中國共產黨大吹之經濟成果相違逆。奧運是大多數運動員夢想的殿堂，許多運動員希望能在這個世界舞台上達成自我實現。但在中國，對於運動員的訓練是有系統性的培訓，從全國各地篩選出數萬名兒童送進2,000多所政府經辦的體育學校，而這些年幼的孩子將面對的是不間斷的全日制訓練。背負的不是什麼夢想還是榮耀，而是來自現實生存的壓力，他們許多人來自貧困的農村，希望能透過成為運動員來改變命運，並且，在他們身後的五星旗時時提醒著他們：他們的責任是為宣揚中國的國族主義征戰。是為黨國，而不是為自己。在這種變態的體系下，中國運動員在身體、心靈和精神上都背負著無法想像的壓力。對自己，金牌是人生走來唯一目標；對外，是背負整個民族大義，因此即使是得到銀牌的殊榮，依然會遭受到來自中國內部的罵名。比方台灣羽球國手李洋、王齊麟，擊敗了中國組合李俊慧、劉雨辰，兩人的微博就隨即遭大量中國網民出征；反觀戴資穎惜敗陳雨菲時，多數台灣人的反應卻是給予戴鼓勵和支持。在轉播的畫面上，相對他國選手在場上的表現，中國選手比賽時臉上少有笑顏，那些運動員有在享受比賽嗎？我想只有中國選手內心知道。德國《南德意志報》對中國選手在奧運上的表現，給出了「中國的奧運，除了沒有靈魂的獎牌工廠外，很難看到其他東西。」的評論，因為驅使中國運動員前進的動力或許不是熱情，而是恐懼。“奧林匹克主義是一種人生哲學，它將身體、心靈和精神的各種品質均衡地結合起來，並使之得到提高和發展；它將體育運動、文化和教育融為一體。奧林匹克主義所宣揚的人生道路，除以基本倫理原則為基礎外，還建基於從奮鬥中所體驗的樂趣和自我存在價值，及以優秀運動員為榜樣的教育價值。” ——引用自奧林匹克憲章全紅嬋的努力，在得牌的那一刻全世界都看見了。但全世界也看到了，沒有奧林匹克靈魂的中國。 |https://www.setn.com/News.aspx?NewsID=979410&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_4|餐飲內用首週末！北市稽查驚曝1盲點|政治|雙北3日開放餐飲內用，這周末迎來父親節檔期的人潮。針對北市餐廳內用須符合維持梅花座、每桌間隔1.5公尺等規定，北市衛生局今日表示，從8月3日至8月7日共稽查533家，其中有61家限期改善，原因包括，無員工體溫監測紀錄、無消毒紀錄與實聯制不完整等。另外，衛生局今日也特別針對「同行家人用餐」說明，有業者誤以為同桌家人不用梅花座，但依照中央指揮中心的規定，家人同桌用餐也需要梅花座或隔板，照顧嬰幼兒等狀況才能例外。北市衛生局下午召開記者會說明，從8月3日至8月7日共稽查533家餐廳內用情況，有61家需限期改善，原因包括，無員工體溫監測紀錄、無消毒紀錄與實聯制不完整等。衛生局也再度強調，業者實聯制要落實、動線規劃要仔細、用餐間隔要確實；人流控管總量管制，讓室內空間至少1.5米/人(2.25平方米/人)，室外空間至少1米/人(1平方米/人)。衛生局指出，業者也需要每日量測體溫監測健康狀況，環境定期清潔消毒，從業人員戴口罩、勤洗手；自助餐型態之餐廳,應有適當之阻隔，由服務人員夾取提供。餐點供應應以個人套餐為主，多人共煮、共餐，應由服務人員代為操作分菜後再上菜。至於消費者則須配合除飲食外，全程配戴口罩，保持社交安全距離。也不得離桌進行敬酒/茶等社交互動。另外，衛生局食藥管理科長陳怡婷今日也特別針對「同行家人用餐」說明，表示有業者誤以為同桌家人不用梅花座，但依照中央指揮中心的規定，家人同桌用餐也需要梅花座或隔板，照顧嬰幼兒等狀況才能例外。|https://www.setn.com/News.aspx?NewsID=979402&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_5|東奧今閉幕 蘇揆：台灣子弟揚眉國際|政治|東奧將在今（8）日閉幕，台灣共獲2金4銀6銅，累計12面獎牌，表現非常亮麗。對此，行政院長蘇貞昌今天表示，這次的成績，讓我們更有信心，台灣子弟揚眉國際。而且台灣同胞，大家看到選手的表現，我們不會像有些國家，選手贏也罵、輸也罵，還怪地主、怪裁判，台灣民眾水準越來越高。。蘇貞昌今日下午視察高鐵苗栗段邊坡滑動搶修情形前受訪時，談到這次東奧時表示，這次東京奧運表現非常亮麗，有這麼多的選手，多少年的辛苦努力；也有這麼多教練、陪練員、物理治療師，甚至後面很多的老師、培訓人員、家人、全國同胞一起，才能讓選手表現亮麗。另一方面，政府也不斷投入資源，讓選手有更好的訓練環境，各方面大家一起努力，台上十分鐘、臺下要用十年功。蘇貞昌並表示，這次的成績，讓我們更有信心，台灣子弟揚眉國際。而且台灣同胞，大家看到選手的表現，我們不會像有些國家，選手贏也罵、輸也罵，還怪地主、怪裁判，台灣民眾水準越來越高。最最重要是，政府從事體育行政工作，我們必須方方面面做好。對於體育署長張少熙因為讓選手坐經濟艙惹議，引發的去留問題，蘇貞昌表示，他昨天說，百密難免一疏，像這次其實是為了防疫，讓選手有更大的空間，所以包機，讓選手不會因為防疫，萬一有一人染疫，其他選手連參加比賽都不可以，可是官員擠進去坐商務艙，觀感不好，事前也沒有好好溝通、也沒有報告，這都是不該，我們應該要謙卑檢討。蘇貞昌並表示，我們等回來後，就整體情況會好好檢討，還有很多我們確實，政府很多方面都必須更認真、更謙卑，很快地明年就要亞運、三年後很快就是巴黎奧運，我們希望成績越來越好，大家一方面給選手加油，一方面也給這麼多的後勤人員、行政人員多加油，政府也會更努力。|https://www.setn.com/News.aspx?NewsID=979384&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_6|鼓勵民眾打高端疫苗？侯友宜鬆口表態|政治|指揮中心規劃第6輪開打國產的高端疫苗，預計8月下旬就打得到。是否鼓勵民眾施打高端？新北市長侯友宜今（8）日回應，對國家發展生物科技疫苗都一定支持，但疫苗必須通過國際標準來取得民眾信任，並和國際接軌、競爭，這才是最重要的。 侯友宜說明新北市的最新疫情發展。指揮中心指揮官陳時中日前表示，根據現階段規劃，第5輪預計將接種莫德納疫苗，第6輪則開打高端疫苗，照登記、順序把疫苗打完，其他暫時不再新增類別，高端疫苗預計8月下旬就打得到。對此，侯友宜今日在防疫記者會上回應說明，「高端也好，我一直提到一個問題，疫苗是不夠的，中央也回應過確定不夠的問題，之前也公布高端國產疫苗，今天重新說明，我們對於國家發展生物科技疫苗都一定是支持的，但疫苗的研發及使用都必須要通過國際標準來取得民眾信任，讓民眾更加了解，並和國際接軌、競爭，這才是最重要的」。至於我國第五批採購Moderna疫苗9.96萬劑，今日下午3時50分抵達桃園國際機場。侯友宜指出，「我希望疫苗還是要趕快採購，用任何方式讓疫苗進來，尤其要買到更好的品質，而且量一定要夠，因為顯然目前的量還是不夠，所以中央應該要加把勁，能夠多多買到品質好、速度快、量要夠的疫苗，讓每個人都有機會打得到疫苗，甚至給民眾多一些選擇，這才是大家現在的期待」。 |https://www.setn.com/News.aspx?NewsID=979336&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_7|前瞻治水預算遭質疑 蘇揆說話了|政治|受到原「盧碧颱風」外圍環流及西南氣流影響，豪雨重創南部縣市，民眾黨立委高虹安質疑，先前2500多億元的前瞻治水預算有問題、甚至淪為美化用的視覺預算。對此，行政院長蘇貞昌指出，這次雨量和87水災相當，但當年災害嚴重很多，這就是因為現有的水環境前瞻建設。他並強調，但是像這樣一天有1千1百公釐水量，誰都撐不起，所以還是要謙卑一點。。高虹安質疑，兩期8800億前瞻預算，雖然有2508億的水環境建設預算，但執行的狀況是很多用在環境的美化，把大量的經費、心力打造親水空間上，而非深入地解決治水問題或提高防洪標準等；她質疑，這次淹水是前瞻預算應用有問題，治水預算淪為視覺預算。蘇貞昌指出，我們小時候讀書說「人定勝天」，經過多少年的學習，大家現在知道人應該謙卑一點，不能老是跟環境作對。尤其是我們看到現在極端型氣候，也不過才一個多月前，我們還在抗旱，現在在治水。所以我們非常謝謝沿路來多少人辛苦、努力，記得我小學畢業那一年「八七水災」，那時候水量破天荒，昨天的水量差不多，當年那個災情比昨天這個嚴重非常非常多。蘇貞昌並指出，我們看到，這次因為我們有「前瞻」水環境建設，所以在抗旱中，沒有受那麼大的苦。這次的水災，我們也看到很多地方因為有建設，所以沒有那麼大的災害，但像這樣累積超過1,100毫米雨量，誰都撐不起，所以還是要謙卑一點，同時我們也多一分準備，少一分災害。蘇貞昌表示，就像我們現在要來看的高鐵，如果不是有預警系統，能夠提前警訊、列車停下來，否則不知會發生什麼後果，所以很多資源投入，是保障生命財產安全，雖然還是難免有災情，但還是希望全國民眾，大家努力做好環境保護，同時政府也會更努力，做各種水環境建設，希望大家一起讓臺灣更好。|https://www.setn.com/News.aspx?NewsID=979368&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_8|又有1足跡！停留內湖特力屋、大潤發|政治|北市衛生局今日公布2例確診足跡，除了稍早公布的案15875為新北市個案，衛生局再度公布1例確診足跡，案15888於8/7確診，初判可能感染源尚待釐清，個案曾到過的台北市花卉批發市場，已進行清消並停業至8/10；特力屋內湖店、HOLA特力和樂內湖店及大潤發內湖二店8/8中午起停業1天，同日下午進行清消；鐵板燒停業3天。▼衛生局下午召開記者會，說明今天公布的2例足跡情形，案15875新北市個案，上下班搭乘捷運進入北市，新北市已經進行疫調跟隔離措施；另外，案15888於8/7確診，目前感染源尚待釐清，個案曾在8/2上午10時至11時前往台北花卉批發市場B館，8/5下午13:35-13:56前往特力屋內湖店、HOLA特力和樂內湖店後，隨即到大潤發內湖二店，14:06-14:42則在御宴鐵板燒用餐，目前該案已經匡列居家隔離22人。|https://www.setn.com/News.aspx?NewsID=979371&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_9|杜絕租屋黑市 立院籲推租契實價登錄|政治|立法院法制局建議修改租賃住宅市場發展及管理條例，規定租賃雙方必須在期限內將房屋租賃契約登載在實價登錄網站，杜絕房東操控租金及逃漏稅等問題，減少租屋黑市發生。，必須在期限內將房屋租賃契約登載在實價登錄網站。根據立法院法制局最新報告指出，由於高房價，內政部估算全台約300萬人選擇租屋，租屋族已占全台總人口數的1/8，延伸出居住品質惡劣、不安全，且租金資訊不透明，租約沒有保障，更嚴重的是房東逃漏稅，以及弱勢家戶無法申請租金補貼等租屋黑市問題。報告指出，建議修正「租賃住宅市場發展及管理條例」，將所有房屋租賃關係者均納管，規定房東及房客必須在一定期限內，訂立房屋租賃租約，政府提供定型化契約供雙方使用，強制規定契約中應記載及不得記載事項。報告指出，強制規定租賃雙方必須在一定期限內，將房屋租賃契約在政府「實價登錄網站」上登載，如此才能讓民眾瞭解當地租屋行情，於租屋前做一比較，杜絕房東片面操控租金，一方面可減少租屋黑市發生，另方面可杜絕房東逃漏稅。法制局表示，日本目前積極推動租賃正常化與產業化的房市政策，日本租賃產業的特性，包括規模經濟效果，管理戶數增加等，且日本的租賃管理公司業務內容愈來愈多樣化，不再單純的派人打掃維護、找房客，而有效且長期維護資產的價值，並適時給予出售及再購建議，可做為台灣開拓租屋市場改善的借鏡。根據現行的規定，目前不動產出租要實價登錄的規定主要是針對委託不動產仲介業者成交的租賃案件，且由仲介業者申報，若出租的不動產為未登記建物，就無須申報。也就是說，若是由房東自行出租給房客，就不一定要申報，造成租屋市場租金不透明、房東逃漏稅等問題。|https://www.setn.com/News.aspx?NewsID=979286&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
6_20210808_10|歡慶父親節 侯友宜示警2景點人潮|政治|今（8）日是父親節，也是餐飲內用解禁的第一個周末，不少民眾趁著天氣晴朗，選擇出門慶祝。針對景點人潮狀況，新北市長侯友宜說明，根據人潮儀表板的觀察，新北境內僅十分瀑布和碧潭停車場兩處超過30%，建議不要前往，下午將繼續密切關注。 侯友宜說明新北市的景點人潮狀況。針對新北市的景點人潮況狀，侯友宜今日下午於防疫應變會議會後記者會上說明，今天是父親節，疫情對餐飲業是非常嚴峻的挑戰，經過這兩天密切觀察，業者配合度很高，雖然昨天有宏匯廣場外帶大排長龍，市府稽查並輔導後已經得到改善。侯友宜指出，昨天下雨人潮比較少，今天大太陽好天氣，便擔心人潮出現，但根據人潮儀表板的觀察，僅十分瀑布、碧潭停車場超過30%，建議不要前往，下午將繼續密切關注。 國內今日新增4例本土確診，同樣創三級警戒以來新低。中央流行疫情指揮中心稍早說明，國內新增7例新冠肺炎確定病例，分別為4例本土及3例境外移入；另確診個案中新增3例死亡。指揮中心表示，今日新增之4例本土病例（其中2例為居家隔離期間或期滿檢驗陽性者），為3例男性、1例女性，年齡介於20多歲至50多歲，發病日均為今（2021）年8月6日。個案分布為台北市2例、新北市及桃園市各1例；其中3例為已知感染源、1例疫調中，將持續進行疫情調查，以釐清感染源。 |https://www.setn.com/News.aspx?NewsID=979335&utm_source=setn.com&utm_medium=viewall&utm_campaign=viewallnews|2021-08-08|
